date,NASDAQCOM
19710205,100
19710208,100.84
19710209,100.76
19710210,100.69
19710211,101.45
19710212,102.05
19710215,
19710216,102.19
19710217,101.74
19710218,101.42
19710219,100.7
19710222,99.68
19710223,99.72
19710224,100.64
19710225,101.23
19710226,101.34
19710301,101.78
19710302,101.84
19710303,102.07
19710304,102.78
19710305,103.51
19710308,104.23
19710309,104.41
19710310,104.14
19710311,104.26
19710312,104.5
19710315,105.13
19710316,105.56
19710317,105.5
19710318,105.88
19710319,105.77
19710322,105.37
19710323,105.11
19710324,104.7
19710325,104.6
19710326,105.07
19710329,105.2
19710330,105.44
19710331,105.97
19710401,106.34
19710402,106.86
19710405,107.17
19710406,107.56
19710407,108.06
19710408,108.38
19710409,
19710412,108.87
19710413,108.85
19710414,109.08
19710415,109.69
19710416,109.96
19710419,110.16
19710420,109.53
19710421,109.52
19710422,109.99
19710423,110.69
19710426,111.13
19710427,111.69
19710428,112.37
19710429,112.46
19710430,112.3
19710503,111.35
19710504,111.77
19710505,111.68
19710506,111.06
19710507,110.66
19710510,110.15
19710511,110.33
19710512,110.37
19710513,110.55
19710514,110.74
19710517,109.15
19710518,108.4
19710519,108.33
19710520,108.72
19710521,108.85
19710524,108.42
19710525,107.5
19710526,107.53
19710527,107.6
19710528,108.25
19710531,
19710601,108.87
19710602,109.56
19710603,110.22
19710604,110.66
19710607,110.76
19710608,110.02
19710609,109.79
19710610,110.06
19710611,110.2
19710614,109.57
19710615,109.36
19710616,109.44
19710617,109.44
19710618,108.16
19710621,106.5
19710622,105.49
19710623,105.99
19710624,106.37
19710625,106.56
19710628,106.45
19710629,107.22
19710630,107.8
19710701,108.47
19710702,108.77
19710705,
19710706,109.23
19710707,110.01
19710708,110.42
19710709,110.91
19710712,111.24
19710713,110.76
19710714,110.34
19710715,110.72
19710716,109.98
19710719,109.37
19710720,109.79
19710721,109.74
19710722,109.54
19710723,109.63
19710726,109.35
19710727,108.57
19710728,107.45
19710729,105.81
19710730,105.27
19710802,105.59
19710803,104.41
19710804,103.26
19710805,103.11
19710806,103.78
19710809,103.18
19710810,103.04
19710811,104.08
19710812,105.21
19710813,105.44
19710816,107.86
19710817,108.93
19710818,108.39
19710819,108.01
19710820,107.89
19710823,108.26
19710824,108.6
19710825,108.85
19710826,108.97
19710827,109.3
19710830,108.71
19710831,108.42
19710901,108.65
19710902,108.96
19710903,109.98
19710906,
19710907,110.53
19710908,110.58
19710909,110.55
19710910,110.42
19710913,110.22
19710914,109.77
19710915,109.79
19710916,109.78
19710917,110.1
19710920,109.99
19710921,109.82
19710922,108.99
19710923,108.8
19710924,108.88
19710927,108.18
19710928,108.38
19710929,108.6
19710930,109.03
19711001,109.58
19711004,109.96
19711005,109.99
19711006,110.68
19711007,110.98
19711008,110.74
19711011,110.71
19711012,110.91
19711013,110.69
19711014,109.87
19711015,109.6
19711018,109.06
19711019,107.99
19711020,106.58
19711021,106.61
19711022,106.8
19711025,106.29
19711026,105.69
19711027,104.28
19711028,104.5
19711029,105.1
19711101,103.69
19711102,103.54
19711103,105.01
19711104,105.56
19711105,105.46
19711108,105.43
19711109,105.72
19711110,104.86
19711111,103.74
19711112,103.91
19711115,103.44
19711116,103.71
19711117,103.64
